FROM,TO,Com_Biz,Com_Jtw,Com_Non,Cor_Biz,Cor_Jtw,Cor_Non,Exp_Biz,Exp_Jtw,Exp_Non
KingstonNYHudsonNY,WashingtonDCMetro,0,0,0,79656.3723853812,14.176993064888,37491.3405521501,3095.15858319098,0.0483445919082674,857.779101696159
LancasterPA,AlbanySchenectadyTroyNY,0,0,0,2500.68602265378,0.400372805764555,584.428080301198,0,0,0
LancasterPA,AtlanticCityRestofNewJersey,0,0,0,7946.70857341578,3719.16070029268,10542.765754477,1252.20172133573,50.9098878538568,1206.0593690359
LancasterPA,BaltimoreMetro,0,0,0,1274.30372925019,716.255490455846,2706.03054184906,49.8858895165901,3.5513584883421,55.9831592240679
LancasterPA,BostonMetroManchesterNashuaNH,0,0,0,5765.18588516128,90.1757128679222,5324.66972384802,703.212938589462,0.000228173535401965,17.036254585106
LancasterPA,BridgeportStamfordNorwalkCT,0,0,0,416.563789542362,6.43871208236522,525.418429352025,9.12226352943168,0.00267249553871718,1.78050957366493
LancasterPA,HarrisburgPALancasterPA,0,0,0,24167.2639761016,14738.119929169,89189.6204911788,265.42112138269,32.5889273473448,260.845990785144
LancasterPA,HartfordWestEastCT,0,0,0,150.750408978512,313.886249076084,47853.2941172178,434.861088080764,0.000430422828223476,24.4455920274827
LancasterPA,KingstonNYHudsonNY,0,0,0,995.371302178812,0.283915986622318,296.184089536476,4.12961509900562,0.000115897917366057,1.25155371905189
LancasterPA,LancasterPA,0,0,0,9125.51295113793,6038.74392525112,26503.8783527724,485.254277771246,45.5653255425652,254.708727429709
LancasterPA,NewCastleDECecilMDSalemNJ,0,0,0,16041.3208269288,14216.9477636743,47505.4434573627,628.151680892135,64.1048034126295,456.852657060705
LancasterPA,NewHavenMilfordCTLitchfieldCT,0,0,0,53158.4414029626,3701.57260856037,40121.2628392761,408.321575863006,0.0557250072286972,55.4004673274627
LancasterPA,NewYorkCityNYWestchesterNYLongIsland,0,0,0,55911.2945147496,17942.0302854128,150442.212371581,5166.9833005209,24.124742399717,1040.5224705314
LancasterPA,NewarkNJNorthernNewJersey,0,0,0,13861.9979651739,9721.81898200095,38828.2485781786,925.218800456639,9.86475480284715,280.542241019674
LancasterPA,NorwichNewLondonCTWindhamCT,0,0,0,821.947853609169,90.4379011262274,3092.11217321882,416.366868649134,0.00041325785719989,29.7831252663548
LancasterPA,PhiladelphiaMetroReadingPA,0,0,0,121782.014712533,74968.1339354601,487256.591725949,8588.19522050535,619.684366941246,11061.445507459
LancasterPA,PoughkeepsieNewburgMiddletownNY,0,0,0,3483.847428613,26.0341428802225,7523.94304712022,157.073938954087,0.0166471120214598,29.0288892625323
LancasterPA,ProvidenceNewBedfordFallRiverRIMA,0,0,0,5300.83894694839,221.60635037786,8532.93588440132,1204.18649099343,0.000629958017854719,28.4701302382407
LancasterPA,RichmondMetroVA,0,0,0,-189617.907030233,346.062760922419,10744.2444720531,836.108029763786,0.000465220369159983,238.711154913368
LancasterPA,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,43.421676843305,42.7519932868175,-453.698905661361,31.7568105862689,0.000526514705788886,1.12667007151944
LancasterPA,WashingtonDCMetro,0,0,0,38836.3012124194,23830.1854947816,127935.153435242,5368.9616654852,121.282551592177,3982.6506107165
NewCastleDECecilMDSalemNJ,AlbanySchenectadyTroyNY,0,0,0,317.675001819124,0.040478824903214,59.0176201919144,0,0,0
